,Twostep,SPJ,CCE,SPJ_chen
T=30,-0.008803005,-0.006321648,-0.004020986,-0.030287621
T=30,-0.013126338,-0.00063553,0.062471159,0.081087819
T=30,-0.015600314,-0.000945812,0.062347993,0.081787432
T=50,-0.006401267,-0.007531662,-0.002858047,-0.033676786
T=50,-0.009054841,-0.002105203,0.061675186,0.073628821
T=50,-0.008750322,-0.00081394,0.059605937,0.065932214
T=100,-0.006829689,-0.006254604,-0.000365793,-0.033928891
T=100,-0.006457938,-0.003752445,0.061245855,0.078673223
T=100,-0.00699242,-0.003316948,0.055356757,0.064216743
T=30,0.01199589,0.014395945,0.013696787,0.04137447
T=30,0.02778345,0.046759008,0.079764804,0.123953041
T=30,0.029054682,0.051460332,0.079430234,0.126032601
T=50,0.00938616,0.010447702,0.010877839,0.038529424
T=50,0.020287193,0.0307912,0.072841055,0.107180869
T=50,0.021213041,0.032223087,0.070783829,0.096621666
T=100,0.007946167,0.008038435,0.007069169,0.036783434
T=100,0.013965907,0.019412682,0.068168688,0.09973845
T=100,0.014686938,0.020149413,0.062375567,0.089338092
